Design,Model,Accuracy,Macro-Precision,Macro-Recall,Macro-F1,MCC
Batch (Dose-Suppressed 48),LightGBM,0.7098 ± 0.2056,0.6541 ± 0.1992,0.5997 ± 0.2377,0.5687 ± 0.2478,0.6029 ± 0.2511
Batch (Dose-Suppressed 48),LogReg,0.7423 ± 0.2181,0.6992 ± 0.2014,0.7444 ± 0.2073,0.6588 ± 0.2329,0.7117 ± 0.1838
Batch (Dose-Suppressed 48),SVM-RBF,0.6069 ± 0.2762,0.6042 ± 0.3023,0.5687 ± 0.2865,0.5147 ± 0.3129,0.5401 ± 0.3314
Batch (Top Joint 64),LightGBM,0.8072 ± 0.1508,0.6895 ± 0.2352,0.6634 ± 0.2308,0.6532 ± 0.2363,0.7296 ± 0.2118
Batch (Top Joint 64),LogReg,0.5942 ± 0.2785,0.6408 ± 0.2210,0.6243 ± 0.2501,0.5309 ± 0.2752,0.5618 ± 0.2594
Batch (Top Joint 64),SVM-RBF,0.4788 ± 0.3045,0.5243 ± 0.3354,0.5009 ± 0.2989,0.4166 ± 0.3383,0.3943 ± 0.3501
Global (Raw 128),LightGBM,0.6894 ± 0.2129,0.6247 ± 0.2240,0.5937 ± 0.2300,0.5685 ± 0.2481,0.6043 ± 0.2467
Global (Raw 128),LogReg,0.7302 ± 0.2424,0.6708 ± 0.2334,0.6842 ± 0.2531,0.6012 ± 0.2947,0.6614 ± 0.2654
Global (Raw 128),SVM-RBF,0.5433 ± 0.3113,0.5659 ± 0.3522,0.5406 ± 0.2979,0.4837 ± 0.3312,0.4764 ± 0.3424
