Protocol,Design,Model,AccMean,AccStd,F1Mean,F1Std
temporal,global_robust + raw_128,logreg,0.7714011822974917,0.010129072034462519,0.7327045157641235,0.009240272559430199
temporal,global_robust + raw_128,svm_rbf,0.7661607285508867,0.008111880235178516,0.7617175623658248,0.011962308577670649
temporal,perbatch_robust + dose_suppressed_48,logreg,0.6121265377855888,0.0048554465028318615,0.5638826321891086,0.0047513615496313395
temporal,perbatch_robust + dose_suppressed_48,svm_rbf,0.1979229908931139,0.002428643100762499,0.05507290574812375,0.0005628788295449203
concentration,global_robust + raw_128,logreg,0.6197699496764917,0.2963854391257187,0.4818879991901424,0.33375003686554927
concentration,global_robust + raw_128,svm_rbf,0.4682961897915169,0.3574818030869584,0.38529442747078424,0.3541272945472126
concentration,perbatch_robust + dose_suppressed_48,logreg,0.2951114306254493,0.20362391607818264,0.1832702506530798,0.15266988782394067
concentration,perbatch_robust + dose_suppressed_48,svm_rbf,0.1486700215672178,0.13677841204262603,0.03942085479931219,0.03478476642689348
