Design,Model,Concentration Shift,Temporal Drift,Performance Drop
Batch (Top Joint 64),SVM-RBF,0.47879223580158153,0.9326623532231009,0.45387011742151934
Global (Raw 128),SVM-RBF,0.543314162473041,0.9155683361290838,0.37225417365604285
Batch (Top Joint 64),LogReg,0.5942127965492452,0.9370556753734323,0.34284287882418707
Batch (Dose-Suppressed 48),SVM-RBF,0.6069015097052479,0.9043853342918763,0.29748382458662836
Batch (Dose-Suppressed 48),LightGBM,0.7097771387491014,0.9142104001917085,0.2044332614426071
Global (Raw 128),LogReg,0.7302300503235084,0.9241952232606437,0.19396517293713533
Batch (Dose-Suppressed 48),LogReg,0.7422717469446442,0.9213994728013419,0.17912772585669778
Global (Raw 128),LightGBM,0.6894320632638389,0.8602124770349069,0.170780413771068
Batch (Top Joint 64),LightGBM,0.8071890726096334,0.9243549804297467,0.11716590782011338
